,Item Name,price
166,Dry fruit mixed 250g,191.1359815
167,Dry dates 250g,234.3546923
168,Peas Delhi 1 kg,114.2643816
169,Peas local 1 kg,282.2794019
170,Onion samber 1 kg,108.6536119
171,Onion small(Economy) 1 kg,21.99199084
172,Jack fruit 1 kg,33.52808551
173,Onion Big 1 kg,55.8754603
174,Onion medium 1 kg,51.58788079
175,Mushroom Oyster 1 kg,225.6438406
176,Brucoli 1 kg,370.8178773
177,Avare seed (FB seeds) 1 kg,197.3395204
178,Avarebele (F. Beans spok) 1 kg,354.4102942
179,Bale hoovu(B.flower) 1 kg,42.0822907
180,Sweet corn seeds 1 kg,105.9919954
181,Kashini (Ganike) Greens 1 kg,17.23474295
182,Gulkan 1/4 kg,67.45651182
183,Gulkan 1/2 kg,89.97878731
184,Gulkan 1 kg,179.8745296
185,Honney 100 gm,65.2251882
186,Honney 200 gm,121.4195513
187,Honney 1 Kg,431.9552277
188,Honney 1/2,236.1381982
189,Copra 1 kg,237.758521
190,Cauliflower(B) 1 kg,60.17811542
191,Cabbage chaina 1 kg,104.2448753
192,Cabbage Red 1 kg,117.178226
193,Cabbage 1 kg,35.749215
194,Coconut (OS) 1 kg,23.05109591
195,Coconut (S) 1 kg,29.86397241
196,Coconut (M) 1 kg,37.82000253
197,Coconut (B) 1 kg,43.58854818
198,Cowpea Long 1 kg,90.19206414
199,Carrot Nati 1 kg,77.08993518
200,Carrot Delhi 1 kg,59.0557711
201,Chillies small (C.B.P) 1 kg,121.8507966
202,Chillies Cleaned 1 kg,70.33637593
203,Chillies Bajji 1 kg,67.69881648
204,Chillies Green 1 kg,71.70539299
205,Capsicum Red/Yellow 1 kg,202.0116583
206,Capsicum 1 kg,76.47614884
207,Mango Raw 1 kg,85.85554404
208,Thogari kai 1 kg,66.65938247
209,Tomoto 1 kg,38.15484783
210,Bitter Gourd 1 kg,61.44573371
211,Yam/S.Root 1 kg,75.23555121
212,Beet Root 1 kg,52.65695268
213,Brinjal Bottle 1 kg,68.69719124
214,Brinjal (R) 1 kg,46.67838778
215,Brinjal (W) 1 kg,61.73565395
216,Beans cleaned 1 kg,86.26906994
217,Beans 1 kg,84.0160208
218,Amla 1 kg,112.4732994
219,N.Juice 200 ml,33.73398988
223,G. nut oil Rice 1 lt,135.4521996
224,Onion flowers 1 kg,43.80951709
225,Pomegranate Ganesh 1 kg,150.0602668
226,Grapesh Tash ganesh 1 kg,135.2512682
227,Peas Dharwad 1 kg,17.8462262
228,Papaya red indian 1 kg,46.8678417
229,Peas Ooty 1 kg,156.3938247
230,Grapes Crimson 1 kg,61.71493318
231,Indian Black globe Grapes 1 kg,183.6465841
232,Nagapur Orange Economy 1 kg,12.28643353
233,Mango thotapuri 1 kg,67.49765634
234,Mango Sendura 1 kg,59.49208775
235,S.mellon namdhari (Red) 1 kg,44.65921116
236,Cucumber white 1 kg,43.99389271
237,Mango Alphans 1 kg,91.83490653
238,Mango Raw Amblet 1 kg,69.04333949
239,Mango Badami 1 kg,85.84258779
240,Mango Raspuri 1 kg,66.59952516
241,South Af.red berry 1 kg,464.3869285
242,Apple Chilli 1 kg,187.9539965
243,Carrot ooty 1 kg,90.74687572
244,Mango Bygan palli 1 kg,63.16967957
245,Mango malagova 1 kg,100.8048389
246,Cluster Beans Bunches 1 kg,32.4664331
247,Mango mallika 1 kg,92.92490436
248,Mango Dasheri 1 kg,80.98602581
249,Mango kalapadu 1 kg,58.606772
250,Litchi Taiwan/chaina 1 kg,465.6688215
251,Mango sakkaregutti 1 kg,51.37646843
252,Rumenia Mango 1 kg,93.44178429
253,Apple Chaina Delicious 1 kg,333.3990097
254,Mango Amarpalli 1 kg,51.31180938
255,Mango Kesar 1 kg,51.43578831
256,Mango 1 kg,29.57402644
257,Jambo fruit(Nerale) 1 kg,356.8219233
258,Mango Neelam 1 kg,59.42417091
259,Grapes Rose 1 kg,89.7558495
260,Berry fruit Ooty 1 kg,33.54017819
261,Plum Ooty 1 kg,227.0946201
262,Orange 1 kg,76.85056314
263,Beans Fruit 1 kg,88.24140639
264,Apple hazarath palli 1 kg,194.829049
265,Peaches 1 kg,326.2800577
266,Komark fruit 1 kg,48.61167881
267,Sweet corn seeds spok 1 kg,62.95206488
268,Berry Golden 1 kg,361.5218371
269,Apple Simla 1 kg,154.3163082
270,Ginger New 1 kg,105.3438018
271,Cherry Tomoto 1 kg,153.4032702
272,Tamrind Chatisghar 1 kg,130.943539
273,Tender Coconut 1 kg,42.1644122
274,Mango rathnagiri(red) 1 kg,41.08004204
275,Berry Southafrica 1 kg,266.2774519
276,Mango Alphans box 1 kg,146.7736496
277,Bread fruit 1 kg,92.32041851
278,Apple Australia 1 kg,237.5404081
279,Potato Baby 1 kg,66.00741751
280,Orange South Africa 1 kg,187.2247819
281,Apple Golden delicious 1 kg,120.214804
282,Washington gala apple 1 kg,201.7108616
283,Pomello/Chakotha 1 kg,50.78744307
284,South Africa Gala apple 1 kg,59.82281756
285,Berry Soft 1 kg,263.7050195
286,Berry Green 1 kg,283.1730857
287,Washington red apple 1 kg,159.3168262
288,Dry apricot 1 kg,25.25170398
289,Berry ball 1 kg,116.141166
290,Cherry kashmir 1 kg,628.5541603
291,Sweet corn cleaned 1 kg,157.7155418
292,Tamarind Paste 450 gm,206.6700316
293,Cucumber Ooty 1 kg,267.1899015
294,Mosambi polo 1 kg,39.12438854
295,Beans Nati 1 kg,35.47721611
296,Orange Ooty 1 kg,96.71950932
297,Mango Langada 1 kg,72.7251838
298,Beans Ring 1 kg,29.73400048
299,Cherry fruit 1 kg,139.5889437
300,Chillies Bajji yagani 1 kg,64.58104503
301,Tender Coconut(M) 1 kg,34.2251588
