Id,Item Name,Date,price
20141205,Parsley 1 Kg,05-12-2014,94
20141205,Garlic cleaned 1 Kg,05-12-2014,134
20141205,Apple Fuji chaina 1 Kg,05-12-2014,210
20141205,Apple Newzeland 1 Kg,05-12-2014,176
20141205,Peas Ooty 1 Kg,05-12-2014,70
20141205,Apple Australia 1 Kg,05-12-2014,176
20141205,Beet Root 1 Kg,05-12-2014,35
20141205,Peas Dharwad 1 Kg,05-12-2014,0
20141205,Peas Delhi 1 Kg,05-12-2014,72
20141205,Peas local 1 Kg,05-12-2014,120
20141205,Plum Australia 1 Kg,05-12-2014,340
20141205,Plum Ooty 1 Kg,05-12-2014,132
20141205,Pineapple 1 Kg,05-12-2014,36
20141205,Bottle Gourd 1 Kg,05-12-2014,31
20141205,Bitter Gourd 1 Kg,05-12-2014,36
20141205,Yam/S.Root 1 Kg,05-12-2014,28
20110101,Cluster Bean Local 1 Kg,01-01-2011,NULL
20110101,Capsicum 1 Kg,01-01-2011,NULL
20110101,Mango Sendura 1 Kg,01-01-2011,NULL
20110101,Mango Bygan palli 1 Kg,01-01-2011,NULL
20110101,Mango malagova 1 Kg,01-01-2011,NULL
20110101,Mango mallika 1 Kg,01-01-2011,NULL
20110101,Mango thotapuri 1 Kg,01-01-2011,NULL
20110101,Mango kalapadu 1 Kg,01-01-2011,NULL
20110101,Mango Neelam 1 Kg,01-01-2011,NULL
20110101,Mango Dasheri 1 Kg,01-01-2011,NULL
20110101,Mango Langada 1 Kg,01-01-2011,NULL
20110101,Mango Kesar 1 Kg,01-01-2011,NULL
20110101,Mango Amarpalli 1 Kg,01-01-2011,NULL
20110101,Mango rathnagiri(red) 1 Kg,01-01-2011,NULL
20110101,Mango Alphans box 1 Kg,01-01-2011,NULL
20110101,Mango sakkaregutti 1 Kg,01-01-2011,NULL
20110101,Orange 1 Kg,01-01-2011,NULL
20110101,Orange Nagpura 1 Kg,01-01-2011,NULL
20110101,Orange Ooty 1 Kg,01-01-2011,NULL
20110101,Orange Australia 1 Kg,01-01-2011,NULL
20110101,Tomoto 1 Kg,01-01-2011,NULL
20110101,Thogari kai 1 Kg,01-01-2011,NULL
20110101,Mango Raw Amblet 1 Kg,01-01-2011,NULL
20110101,Mango Raw 1 Kg,01-01-2011,NULL
20110101,Capsicum 1,01-01-2011,NULL
20110101,Capsicum Red/Yellow 1 Kg,01-01-2011,NULL
20110101,Chillies Green 1 Kg,01-01-2011,NULL
20110101,Chillies Bajji 1 Kg,01-01-2011,NULL
20110101,Chillies Cleaned  1 Kg,01-01-2011,NULL
20110101,Chillies small (C.B.P) 1 Kg,01-01-2011,NULL
20110101,Carrot ooty 1 Kg,01-01-2011,NULL
20110101,Carrot Delhi 1 Kg,01-01-2011,NULL
20110101,Carrot Nati 1 Kg,01-01-2011,NULL
20110101,Cowpea Local 1 Kg,01-01-2011,NULL
20110101,Cowpea Long 1 Kg,01-01-2011,NULL
20110101,Coconut (B) 1 Kg,01-01-2011,NULL
20110101,Coconut (M) 1 Kg,01-01-2011,NULL
20110101,Coconut (S) 1 Kg,01-01-2011,NULL
20110101,Coconut (OS) 1 Kg,01-01-2011,NULL
20110101,Cabbage 1 Kg,01-01-2011,NULL
20110101,Cabbage Red 1 Kg,01-01-2011,NULL
20110101,Cabbage chaina 1 Kg,01-01-2011,NULL
20110101,Cauliflower(B) 1 Kg,01-01-2011,NULL
20110101,Copra 1 Kg,01-01-2011,NULL
20110101,Honney 1/2,01-01-2011,NULL
20110101,Honney 1 Kg,01-01-2011,NULL
20110101,Honney 200 gm,01-01-2011,NULL
20110101,Honney 100 gm,01-01-2011,NULL
20110101,Gulkan 1 kg,01-01-2011,NULL
20110101,Gulkan 1/2 kg,01-01-2011,NULL
20110101,Gulkan 1/4 kg,01-01-2011,NULL
20110101,Cluster Beans Bunches 1 Kg,01-01-2011,NULL
20110101,Cucumber white 1 Kg,01-01-2011,NULL
20110101,Kashini (Ganike) Greens 1 Kg,01-01-2011,NULL
20110101,Sweet corn seeds 1 Kg,01-01-2011,NULL
20110101,Bale hoovu(B.flower) 1 Kg,01-01-2011,NULL
20110101,Banana cooking R.Banana 1 Kg,01-01-2011,NULL
20110101,Avarekai (Field Beans ) 1 Kg,01-01-2011,NULL
20110101,Grapes T.S. 1 Kg,01-01-2011,NULL
20110101,Herali kai 1 Kg,01-01-2011,NULL
20110101,Ladys finger 1 Kg,01-01-2011,NULL
20110101,Little gourd 1 Kg,01-01-2011,NULL
20110101,Lime Local 1 Kg,01-01-2011,NULL
20110101,Grapes Red globe 1 Kg,01-01-2011,NULL
20110101,Grapes Dry 250gm 1 Kg,01-01-2011,NULL
20110101,Grapes Dry 100gm 1 Kg,01-01-2011,NULL
20110101,Lime Bijapur 1 Kg,01-01-2011,NULL
20110101,Mushroom Button 1 Kg,01-01-2011,NULL
20110101,Mushroom Milky 1 Kg,01-01-2011,NULL
20110101,Cauliflower(M) 1 Kg,01-01-2011,NULL
20110101,Cauliflower(S) 1 Kg,01-01-2011,NULL
20110101,Cauliflower per Kg,01-01-2011,NULL
20110101,Cherry Tomoto 1 Kg,01-01-2011,NULL
20110101,Drumstik 1 Kg,01-01-2011,NULL
20110101,Double Beans seeds 1 Kg,01-01-2011,NULL
20110101,Double Beans 1 Kg,01-01-2011,NULL
20110101,Ground nut Local 1 Kg,01-01-2011,NULL
20110101,Ground nut Hybrid 1 Kg,01-01-2011,NULL
20110101,Ginger 1 Kg,01-01-2011,NULL
20110101,Ginger New 1 Kg,01-01-2011,NULL
20110101,Chikadi kai 1 Kg,01-01-2011,NULL
20110101,knol-khol 1 Kg,01-01-2011,NULL
20110101,Arive greens 1 Kg,01-01-2011,NULL
20110101,Eggs for 1,01-01-2011,NULL
20110101,Chakota greens 1 Kg,01-01-2011,NULL
20110101,Onion pack 1 Kg,01-01-2011,NULL
20110101,Potato pack 1 Kg,01-01-2011,NULL
20110101,Chilakarive green 1 Kg,01-01-2011,NULL
20110101,Chillies Bajji yagani 1 Kg,01-01-2011,NULL
20110101,Baby corn 1 Kg,01-01-2011,NULL
20110101,Baby corn cleaned 1 Kg,01-01-2011,NULL
20110101,Berry Southafrica 1 Kg,01-01-2011,NULL
20110101,Berry Golden 1 Kg,01-01-2011,NULL
20110101,Berry ball 1 Kg,01-01-2011,NULL
20110101,Berry Green 1 Kg,01-01-2011,NULL
20110101,Apple Premium 1 Kg,01-01-2011,NULL
20110101,Malenian apple 1 Kg,01-01-2011,NULL
20110101,Nagapur Orange Economy 1 Kg,01-01-2011,NULL
20110101,South Af.red berry 1 Kg,01-01-2011,NULL
20110101,Amla 1 Kg,01-01-2011,NULL
20110101,Beans 1 Kg,01-01-2011,NULL
20110101,Beans Nati 1 Kg,01-01-2011,NULL
20110101,Beans Ring 1 Kg,01-01-2011,NULL
20110101,Beans Fruit 1 Kg,01-01-2011,NULL
20110101,Beans cleaned 1 Kg,01-01-2011,NULL
20110101,Brinjal long 1 Kg,01-01-2011,NULL
20110101,Brinjal (W) 1 Kg,01-01-2011,NULL
20110101,Brinjal (R) 1 Kg,01-01-2011,NULL
20110101,Brinjal Bottle 1 Kg,01-01-2011,NULL
20110101,Brinjal Mlore 1 Kg,01-01-2011,NULL
20110101,Beet Root 1 Kg,01-01-2011,NULL
20110101,Yam/S.Root 1 Kg,01-01-2011,NULL
20110101,Bitter Gourd 1 Kg,01-01-2011,NULL
20110101,Mint Leaves 1 Kg,01-01-2011,NULL
20110101,Menthya Greens 1 Kg,01-01-2011,NULL
20110101,Palak Greens 1 Kg,01-01-2011,NULL
20110101,Apple Delicious 1 Kg,01-01-2011,NULL
20110101,Apple Simla 1 Kg,01-01-2011,NULL
20110101,Apple Economy 1 Kg,01-01-2011,NULL
20110101,Apple Washington 1 Kg,01-01-2011,NULL
20110101,Apple Australia 1 Kg,01-01-2011,NULL
20110101,Apple Newzeland 1 Kg,01-01-2011,NULL
